Name,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
Jeremy Beal,ILB,74.25,262,5.14,22,28.5,106,4.46,7.2
Nick Bellore,ILB,73,245,4.84,23,32.5,109,4,6.98
Damien Berry,RB,70.25,211,4.58,23,33.5,120,4.12,7
Armon Binns,WR,75,209,4.5,13,31.5,118,4.31,6.86
Ahmad Black,SS,69.5,184,4.7,18,35.5,119,4.2,6.85
Clint Boling,OG,76.63,308,5.28,28,31,102,4.64,7.66
Justin Boren,OG,74.88,309,5.4,28,32,96,4.75,7.57
Matt Bosher,P,72.63,208,,8,,,,
DaQuan Bowers,DE,75.38,280,4.64,22,34.5,110,4.57,6.98
Allen Bradford,RB,70.88,242,4.53,28,29,113,4.39,6.97
James Brewer,OT,78.25,323,5.21,25,26,100,4.81,7.84
Niles Brinkley,CB,69.5,193,4.54,15,33.5,120,4.27,7.23
Chykie Brown,CB,71.25,190,4.49,,36.5,120,4,6.5
Curtis Brown,CB,71.63,185,4.51,10,39.5,128,4,6.59
DeAndre Brown,WR,77.63,233,4.59,20,29,117,4.33,6.93
Jalil Brown,CB,72.63,204,4.52,24,35.5,116,4.25,6.85
Vincent Brown,WR,71.25,187,4.68,12,33.5,121,4.25,6.64
Kendric Burney,CB,69.38,186,4.71,14,32.5,112,4.4,6.91
Brandon Burton,CB,71.63,190,4.5,18,32,118,4.07,6.93
Stephen Burton,WR,73.38,221,4.5,19,34.5,117,4.31,7.04
Nate Bussey,OLB,73,228,4.51,16,35.5,121,4.28,6.84
Mario Butler,CB,72.13,182,4.65,,30.5,120,4.37,7.09
Josh Bynes,ILB,73.63,240,4.81,21,33,116,4.32,7.11
Jordan Cameron,TE,77.25,254,4.53,23,37.5,119,4.03,6.82
Tommie Campbell,FS,74.88,203,,,34,123,4.21,7.01
Marcus Cannon,OT,77,358,5.26,33,30.5,105,4.97,8.07
Gabe Carimi,OT,79,314,5.18,29,31.5,109,,
Rashad Carmichael,CB,70,192,4.76,13,31,116,4.06,6.69
James Carpenter,OT,76.38,321,5.22,23,28.5,106,4.75,7.56
Bruce Carter,OLB,73.5,241,4.57,25,,,,
Chris Carter,OLB,73.13,248,4.58,27,36,114,4.34,6.88
David Carter,DT,76.5,297,5.02,25,28.5,111,4.69,7.63
Delone Carter,RB,68.63,222,4.54,27,37,120,4.07,6.92
Markell Carter,OLB,76.38,252,4.7,17,35.5,121,4.45,7.43
Quinton Carter,FS,72.63,208,4.57,23,34.5,121,4.06,7.05
Jurrell Casey,DT,72.63,300,5.04,26,27.5,101,4.78,7.51
Anthony Castonzo,OT,79,311,5.21,28,29.5,105,4.4,7.25
Shaun Chapas,FB,74.13,247,4.87,23,35.5,116,4.4,7.13
Chimdi Chekwa,CB,71.75,191,4.38,,34.5,126,,
Ugo Chinasa,DE,76.88,264,4.63,22,28,117,4.39,7.07
Garrett Chisolm,OG,77,312,,25,,,,
Charles Clay,FB,74.88,245,4.69,18,33.5,118,4.15,7.07
John Clay,RB,72.5,230,4.83,19,29,111,4.3,7.1
Adrian Clayborn,DE,74.63,281,4.78,17,33,113,4.13,7.3
Zach Clayton,DT,74,299,4.85,27,33.5,128,4.44,7.37
Randall Cobb,WR,70.25,191,4.46,16,33.5,115,4.34,7.08
Ryan Colburn,QB,74.75,233,5.12,,30.5,,4.28,6.84
Chris Conte,FS,74.38,197,4.52,18,35.5,127,4.19,7.01
Graig Cooper,RB,70,205,4.6,18,32.5,114,4.03,6.66
Vance Cuff,CB,70,178,4.53,,36,120,4.09,6.91
Johnny Culbreath,OT,77.13,322,5.02,27,30.5,108,4.83,7.76
Chris Culliver,FS,72.38,199,4.36,15,38.5,123,4.08,6.88
Andy Dalton,QB,74,215,4.83,,29.5,106,4.27,6.93
Wayne Daniels,OLB,72.25,260,5.03,,25,106,4.68,7.81
Marcell Dareus,DT,75.13,319,4.93,24,27,106,4.62,7.83
Josh Davis,OT,79.13,313,5.5,,24,91,5.07,7.98
Mark Dell,WR,72.25,193,4.54,14,33,117,4.15,6.89
Akeem Dent,ILB,73,242,4.78,24,37.5,123,4.38,6.93
Noel Devine,RB,67.5,179,4.34,24,35.5,121,4.25,6.88
Pat Devlin,QB,75.38,225,4.81,,33,116,4.32,7.08
Demarcus Dobbs,DE,74.25,281,4.87,20,31,107,4.37,7.22
Ray Dominguez,OG,76,334,5.45,21,27.5,90,4.9,7.74
Ryan Donahue,P,73.88,193,,,,,,
Tandon Doss,WR,74,201,4.56,14,33.5,116,4.22,6.91
Ras-I Dowling,CB,73.38,198,4.4,19,,,,
Shaun Draughn,RB,70.88,213,4.73,21,34,118,4.2,7.15
Kris Durham,WR,77.25,216,4.46,17,36,121,4.41,6.89
Kenrick Ellis,DT,76.88,346,5.19,26,32,102,4.88,7.84
Ricky Elmore,DE,76.5,255,4.88,26,31.5,106,4.32,7.25
Nathan Enderle,QB,76.13,240,5.12,,25.5,102,4.46,7.13
Darren Evans,RB,72,227,4.56,26,35,111,4.46,6.96
Nick Fairley,DT,75.88,291,4.84,,31,113,4.56,7.14
Mario Fannin,RB,70.38,231,4.37,21,37.5,115,4.21,6.99
Jay Finley,RB,70.88,203,4.51,14,39.5,132,4.36,7.39
Kai Forbath,K,70.88,197,,,,,,
Reid Forrest,P,72.13,189,4.69,,32.5,106,,
Mason Foster,OLB,73.25,245,4.75,22,31,110,4.45,7.14
Collin Franklin,TE,77.63,256,4.69,28,34.5,124,4.29,7.44
Orlando Franklin,OT,77.5,316,5.11,26,28.5,105,,8.37
Adam Froman,QB,76,220,4.54,,30.5,112,4.16,6.8
Sione Fua,DT,73.5,308,5.28,30,24,101,4.54,7.54
Brandon Fusco,C,76,306,5.18,26,28.5,108,4.43,7.29
Blaine Gabbert,QB,76.38,234,4.61,,33.5,120,4.26,6.84
Andrew Gachkar,OLB,74.38,233,4.56,18,34,118,4.29,6.95
Anthony Gaitor,CB,69.88,177,4.48,12,36,126,4.12,6.85
Charlie Gantt,TE,76,252,4.85,27,30.5,112,4.4,7.15
Edmond Gates,WR,71.75,192,4.49,16,40,131,4.17,6.87
Marcus Gilbert,OT,78.13,330,5.41,30,30.5,98,5.02,
Marcus Gilchrist,CB,70,195,4.45,26,38.5,119,4.12,6.81
DeJon Gomes,SS,71.5,208,4.5,13,31,110,4.2,6.9
Richard Gordon,TE,75.5,265,4.66,25,32.5,109,4.46,7.3
Cameron Graham,TE,75.13,244,5,18,31,105,4.51,7.19
Adam Grant,OT,78,325,5.54,25,26.5,99,5,8.25
John Graves,DT,75,286,5.09,29,28.5,114,4.49,7.49
A.J. Green,WR,75.63,211,4.48,18,34.5,126,4.21,6.91
Alex Green,RB,72.25,225,4.45,20,34,114,4.15,6.91
Virgil Green,TE,75.38,249,4.54,23,42.5,130,4.4,6.9
Tori Gurley,WR,76.13,216,4.53,15,33.5,118,4.25,7.05
Lawrence Guy,DT,76.13,305,4.96,28,29,104,4.43,7.6
Eric Hagg,FS,73.38,209,4.62,18,34.5,121,4.19,6.73
Chris Hairston,OT,78.13,326,5.38,33,29,96,4.7,7.9
Derek Hall,OT,76.25,308,5.56,21,26.5,89,4.9,7.75
Jamel Hamler,WR,73,193,4.68,4,32,112,4.18,7.16
Leonard Hankerson,WR,73.5,209,4.4,14,36,117,4.21,6.94
Daniel Hardy,TE,75.75,249,4.77,18,30.5,106,4.35,7.19
Jamie Harper,RB,71.38,233,4.53,24,36.5,120,4.39,7.16
Brandon Harris,CB,69.5,191,4.46,13,35.5,113,4.12,6.77
Dwayne Harris,WR,70.38,203,4.53,10,34,111,4.21,6.77
Mario Harvey,ILB,70.88,257,4.46,27,32,113,4.19,7.13
Stanley Havili,FB,72.25,227,,,,,,
Roy Helu,RB,71.5,219,4.4,11,36.5,119,4.01,6.67
Alex Henery,K,73.5,177,,,,,,
Chas Henry,P,75.13,219,,,,,,
Ricky Henry,OG,74.75,308,5.68,20,24,90,4.68,7.98
Sandon Herzlich,OLB,76,244,5.02,29,32.5,112,4.46,7.32
Cameron Heyward,DE,76.63,294,4.92,,30,,,
Will Hill,FS,72.75,202,4.64,13,31,123,4.19,6.94
Jermale Hines,FS,73.13,219,4.61,19,31,114,4.21,6.9
Kyle Hix,OT,78.88,319,5.44,24,32,104,4.78,7.77
Brandon Hogan,CB,70.25,192,4.43,19,,,,
Doug Hogue,OLB,74.5,235,4.62,18,36,121,4.57,7.09
Andre Holmes,WR,76.38,210,4.51,11,35,130,4.31,6.69
Ross Homan,OLB,72.75,240,4.66,32,35.5,111,4.34,7.21
Davon House,CB,72.5,200,4.44,14,33.5,109,4.12,6.65
Rob Housler,TE,77.38,248,4.46,22,37,117,4.21,6.9
Justin Houston,OLB,74.88,270,4.62,30,36.5,125,4.37,6.95
Rodney Hudson,C,74.38,299,5.27,27,25.5,95,4.96,8.03
Kevin Hughes,OT,75.63,302,5.31,22,29.5,95,4.97,8.29
Jeremiha Hunter,OLB,72.5,239,4.77,20,31.5,116,,
Kendall Hunter,RB,67.25,199,4.46,24,35,122,4.21,6.74
Zach Hurd,OG,78.75,316,5.28,25,28,101,4.77,7.73
Maurice Hurt,OG,74.63,318,5.34,18,29,97,4.9,8.13
Henry Hynoski,FB,72.38,257,5.06,24,30.5,111,,
Ben Ijalana,OG,75.63,317,5.2,,25.5,105,4.7,7.75
Mark Ingram,RB,69.13,215,4.62,21,31.5,113,4.62,7.13
Nate Irving,ILB,73,240,4.74,27,32.5,107,4.25,6.97
Rod Issac,CB,70.75,196,4.41,22,33.5,115,4.12,6.9
Andrew Jackson,OG,77,299,5.27,25,28,98,4.65,7.55
Jaiquawn Jarrett,FS,71.88,198,4.62,14,30,113,4.14,6.95
Josh Jasper,K,70.13,174,,,,,,
Lestar Jean,WR,75,215,4.61,14,37.5,113,4.43,7.45
Jarvis Jenkins,DT,76,310,5.03,17,26.5,98,4.83,7.42
Jerrel Jernigan,WR,68.88,185,4.46,11,37.5,117,4.25,7.07
Carl Johnson,OG,77,361,5.4,25,25.5,96,5.03,8.26
Jeron Johnson,SS,70.25,212,4.51,23,31,113,4.2,6.95
Jerrod Johnson,QB,77.13,251,4.75,,29,119,4.31,7.28
Ronald Johnson,WR,71.25,199,4.46,16,37.5,124,4.28,6.64
Colin Jones,FS,71.5,201,4.38,20,37,124,4.04,6.69
Greg Jones,ILB,72.13,242,4.75,21,31.5,117,4.27,7.21
Julio Jones,WR,74.75,220,4.34,17,38.5,135,4.25,6.66
Ryan Jones,CB,71,198,4.46,19,40,128,4.18,6.84
Taiwan Jones,RB,71.63,194,4.53,13,32,115,4.33,7.25
Cameron Jordan,DE,76.13,287,4.74,25,31,117,4.37,7.07
Elijah Joseph,ILB,73,243,,31,,,,
Colin Kaepernick,QB,76.63,233,4.53,,32.5,115,4.18,6.85
Frank Kearse,DT,76,315,5.3,22,30,103,4.66,7.8
Jason Kelce,C,74.63,280,4.89,,30.5,110,4.14,7.22
Lance Kendricks,TE,74.88,243,4.65,25,34.5,122,4.15,6.94
Shiloh Keo,SS,71.25,219,4.74,24,32.5,110,3.9,6.55
Jeremy Kerley,WR,69.5,189,4.56,16,34.5,120,3.99,6.7
Patrick Kerrigan,DE,75.88,267,4.79,31,33.5,122,4.39,7.18
Daniel Kilgore,OG,75.25,308,5.28,23,32.5,105,4.68,7.59
Jarriel King,OT,77,317,5.03,23,30,114,4.77,7.6
Jake Kirkpatrick,C,73.88,300,5.31,25,30.5,102,4.74,7.69
Karl Klug,DE,75,275,4.79,22,29.5,113,4.53,7.03
Rich Lapham,OT,80.13,315,,,,,,
Joe Lefeged,SS,71.63,210,4.42,18,36.5,122,4.13,6.82
Mark LeGree,FS,71.5,210,4.49,21,31,116,4.09,6.9
Orie Lemon,ILB,72.75,242,4.87,27,30,113,4.4,7.45
Mikel Leshoure,RB,71.63,227,4.56,21,38,122,4.4,6.82
Lazarius Levingston,DE,75.5,292,5.03,20,29.5,104,4.62,7.29
Dion Lewis,RB,66.63,193,4.56,17,34.5,112,4.18,6.9
Korey Lindsey,CB,70.13,194,4.56,10,,,4.33,7.11
Alex Linnenkohl,C,73.75,304,5.36,24,26.5,89,4.62,7.67
Greg Little,WR,74.5,231,4.51,27,40.5,129,4.21,6.8
Corey Liuget,DT,74.13,298,4.97,27,27.5,102,4.68,7.48
Greg Lloyd,ILB,73.13,246,4.8,22,32,109,4.46,7.17
Derrick Locke,RB,68.25,188,4.37,16,37.5,118,4.15,6.98
Jake Locker,QB,74.5,231,4.51,,35,115,4.12,6.77
Ricardo Lockette,WR,74.13,211,4.34,22,35.5,127,4.19,7.15
DeMarcus Love,OT,76.38,315,5.18,27,26.5,97,4.84,7.84
Scott Lutrus,OLB,74.38,241,4.68,18,38,121,4.09,6.89
Jeff Maehl,WR,72.88,190,4.56,8,33.5,115,3.94,6.42
Ryan Mallett,QB,78.75,253,5.24,,24,103,,
Owen Marecic,FB,72.5,248,4.87,22,28.5,102,4.56,7.1
Curtis Marsh,CB,72.5,197,4.42,12,37.5,123,4.07,6.87
Casey Matthews,ILB,72.88,231,4.78,13,32.5,113,4.36,7.1
Cliff Matthews,DE,75.5,257,4.81,17,32,112,4.37,7.21
Byron Maxwell,CB,72.25,202,4.43,24,33,124,4.49,7.12
Colin McCarthy,ILB,73.38,238,4.59,23,36.5,119,4.2,6.93
Terrell McClain,DT,73.63,297,4.98,29,28,104,4.56,7.48
DeAndre McDaniel,SS,72.13,217,4.63,,35,116,4.39,7.07
Greg McElroy,QB,73.88,220,4.84,,33,107,4.45,7.11
Andrew McGee,CB,71.25,195,4.71,,34,117,4.34,7.46
Scotty McKnight,WR,70.5,182,4.5,13,34,128,4.07,6.68
Pernell McPhee,DE,74.63,278,4.91,20,28.5,107,4.59,7.13
Bruce Miller,OLB,73.38,254,4.81,35,31,113,4.34,7.05
Gabe Miller,DE,75.25,250,4.62,33,36,114,4.12,6.97
Von Miller,OLB,74.63,246,4.42,21,37,126,4.06,6.7
David Mims,OT,80.25,331,5.32,29,26,102,4.8,8.1
Dontay Moch,OLB,73.38,248,4.4,21,42,128,4.38,7.09
John Moffitt,OG,76.25,319,5.51,23,30.5,102,4.53,7.79
Michael Mohamed,ILB,75,239,4.79,21,32,115,4,6.7
Denarius Moore,WR,71.63,194,4.43,13,36,118,4.15,6.78
Rahim Moore,FS,71.75,202,4.58,11,35,115,3.96,6.98
Joseph Morgan,WR,72.5,189,4.48,10,35.5,123,4.25,6.91
Adrian Moten,OLB,73.63,228,4.53,18,31,114,4.21,7.05
Jonas Mouton,OLB,73,239,4.84,17,31.5,115,4.34,7.08
Orenthal Murdock,WR,70.5,197,4.59,15,34.5,116,4.37,
DeMarco Murray,RB,71.63,213,4.37,21,34.5,130,4.18,7.28
Chris Neild,DT,73.75,319,5.06,30,29,106,4.46,7.56
Jonathan Nelson,FS,70.88,198,4.54,22,43,136,4.12,6.84
Drake Nevis,DT,72.63,294,5.06,31,30.5,112,4.65,7.71
Jamar Newsome,WR,72.5,200,4.56,13,38.5,129,4.22,6.83
Cam Newton,QB,77,248,4.56,,35,126,4.18,6.92
Derek Newton,OT,76.88,311,5,24,25.5,100,5,7.76
Kris O'Dowd,C,76.13,304,5.12,31,32.5,105,4.59,7.67
Ollie Ogbu,DT,72.88,298,4.84,26,25.5,119,4.63,7.69
Schuylar Oordt,TE,77.75,261,4.63,18,36,119,4.25,6.83
Cheta Ozougwu,DE,73.63,247,4.84,26,34.5,119,4.31,7.06
Stephen Paea,DT,73.25,303,4.98,49,,,,
Martin Parker,DT,74.13,303,4.95,22,29,104,4.57,7.56
Johnny Patrick,CB,70.63,191,4.59,13,32,110,4.16,
Niles Paul,WR,72.88,224,4.45,24,34.5,117,4.14,6.9
Michael Person,OG,76.5,299,5.19,21,28,108,4.5,7.44
Patrick Peterson,CB,72.25,219,4.31,15,38,126,4.07,6.58
Austin Pettis,WR,74.63,209,4.56,14,33.5,120,3.88,6.68
Zack Pianalto,TE,75.25,256,4.78,22,32,108,4.41,6.85
Kealoha Pilares,WR,69.88,199,4.56,19,40.5,125,4.11,6.85
Jason Pinkston,OT,75.38,317,5.39,22,26.5,98,4.91,7.88
Christian Ponder,QB,74,229,4.63,,34,116,4.09,6.85
Josh Portis,QB,74.88,211,4.59,,40,126,4.12,6.84
Mike Pouncey,OG,77,303,5.12,24,25,96,4.64,7.66
Jerrell Powe,DT,73.75,335,5.25,27,25,93,5.06,8.17
Bilal Powell,RB,70.5,207,4.52,18,,,,
Chris Prosinski,FS,73,201,4.39,14,39.5,134,4.28,6.85
Robert Quinn,DE,76,265,4.62,22,34,116,4.4,7.13
Will Rackley,OG,75.25,309,5.27,29,23.5,99,4.94,7.91
Mistral Raymond,FS,73.25,194,4.64,8,32.5,122,4.51,7.14
Brooks Reed,OLB,74.5,263,4.65,30,30.5,113,4.28,7.11
D'Aundre Reed,DE,75.88,261,4.84,30,35.5,119,4.32,7.24
Jah Reid,OT,79.13,327,5.32,28,29.5,111,4.65,7.73
Allen Reisner,TE,74.25,248,4.9,14,28,108,4.59,7.31
Stevan Ridley,RB,71.25,225,4.65,18,36,118,4.21,6.78
Aldrick Robinson,WR,69.63,184,4.35,17,40,126,4.09,6.65
Jacquizz Rodgers,RB,65.88,196,4.59,13,33,113,4.26,7.31
Jake Rogers,K,74,213,,,,,,
Justin Rogers,CB,70.5,180,4.45,14,33,114,4.2,7.21
Brian Rolle,OLB,69.63,229,4.53,28,33,115,4.26,6.89
Greg Romeus,DE,76.88,264,,24,,,,
Evan Royster,RB,71.63,212,4.65,20,34,113,4.18,7.07
Chris Rucker,CB,72.5,195,4.55,10,33.5,119,4.35,6.87
Kyle Rudolph,TE,78.13,259,4.83,19,34.5,113,4.37,7.24
Kevin Rutland,CB,71.63,190,4.58,12,35.5,115,4.15,6.92
Brandon Saine,RB,71.25,220,4.4,22,34.5,113,4.25,6.98
Greg Salas,WR,73.13,210,4.53,15,37,120,4.1,6.65
DeMarco Sampson,WR,74,204,4.69,14,35.5,120,4.26,6.93
Jock Sanders,WR,66.13,181,4.5,19,34.5,121,4.13,6.78
Robert Sands,FS,76.38,217,4.53,12,35,124,4.06,7.03
Dane Sanzenbacher,WR,71.38,182,4.56,,33.5,118,3.97,6.46
Tyler Sash,SS,72,211,4.62,11,33,108,4.27,6.9
Weslye Saunders,TE,77.13,270,4.82,19,33.5,116,4.56,7.48
Stephen Schilling,OG,76.25,308,5.18,30,25.5,98,4.62,7.73
Steve Schilling,OG,76.25,308,5.29,30,25.5,98,4.62,7.73
Caleb Schlauderaff,OG,76.25,305,,,28,102,4.81,
Da'Rel Scott,RB,71,211,4.4,19,34,117,4.2,7.15
Da'Norris Searcy,SS,70.63,223,4.55,27,33,120,4.09,6.87
Jabaal Sheard,DE,74.88,264,4.68,,31,115,4.65,7.34
Kelvin Sheppard,ILB,73.88,250,4.64,22,33.5,110,4.28,7.25
Anthony Sherman,FB,70.25,242,4.74,32,32.5,111,4.41,7.23
Richard Sherman,CB,74.63,195,4.54,16,38,125,4.33,6.82
Derek Sherrod,OT,77.38,321,5.18,23,28,97,4.63,7.43
Cecil Shorts,WR,71.75,205,4.58,21,34.5,114,4.07,6.5
Tupaimoefitpo Siliga,DT,73.75,305,5.04,29,29,100,4.75,7.7
David Sims,SS,69.25,200,4.5,24,37.5,120,4.28,6.94
Buster Skrine,CB,69.5,186,4.37,20,37,122,3.9,6.44
Aldon Smith,DE,76.25,263,4.74,20,34,118,4.5,7.19
Andre Smith,TE,76.38,270,4.78,22,33.5,119,4.3,7.13
Chris Smith,CB,69.75,186,4.73,9,31,118,4.26,7.46
Darryl Smith,OLB,70.63,239,4.88,20,31,104,4.45,7.35
Derrell Smith,ILB,72,243,4.76,17,33.5,114,4.39,7.45
Jimmy Smith,CB,74.25,211,4.42,24,36,123,4.06,6.93
Keith Smith,WR,74.25,214,,,,,,
Lee Smith,TE,77.75,266,4.94,25,29,108,4.28,7.16
Malcolm Smith,OLB,72.25,226,4.44,28,39,125,4.54,7.08
Torrey Smith,WR,72.88,204,4.41,19,41,126,4.13,6.72
Tyron Smith,OT,77,307,5.08,29,29,109,4.68,7.47
Willie Smith,OT,77.38,310,5.4,27,30.5,106,4.83,7.95
Nate Solder,OT,80.25,319,4.96,21,32,110,4.34,7.44
Owen Spencer,WR,73.88,195,4.51,6,37.5,125,4.18,6.86
Ricky Stanzi,QB,76.38,223,4.87,,32.5,110,4.43,6.95
Byron Stingily,OT,77,313,4.95,25,27.5,110,4.48,7.6
Luke Stocker,TE,76.75,258,4.68,27,33,115,4.4,7.03
Quan Sturdivant,ILB,73,241,4.63,21,34,115,4.5,7.29
Jeff Tarpinian,ILB,74.13,235,4.56,16,37,125,4.1,6.78
Jerrard Tarrant,FS,72.38,204,4.57,14,33,116,4.21,6.92
Vai Taua,RB,69.5,213,4.65,20,34.5,112,4.18,6.89
Adrian Taylor,DT,75.38,311,4.96,34,,,,
Phil Taylor,DT,75.25,334,5.09,31,29.5,100,4.77,7.75
Ryan Taylor,TE,75.5,254,4.76,21,34,118,4.47,7.09
Tyrod Taylor,QB,72.75,217,4.47,,37.5,126,4.09,6.78
Zane Taylor,C,74.5,309,5.52,33,25.5,104,4.77,8.15
Daniel Thomas,RB,72.25,230,4.63,21,34,123,4.29,7.06
James Thomas,OLB,73,241,4.73,23,30.5,114,4.28,7.23
Josh Thomas,CB,70.25,191,4.46,13,38.5,126,4.15,6.99
Julius Thomas,TE,76.63,246,4.64,16,35.5,111,4.31,6.96
Brandyn Thompson,CB,69.25,189,4.5,13,33.5,114,4.12,6.66
Isaiah Thompson,OG,75.38,300,6,23,25,82,5.56,9.04
Cedric Thornton,DT,75.13,309,5.25,23,27,101,4.71,7.7
Jordan Todman,RB,68.88,203,4.4,25,38,126,4.18,7.24
Terrence Toliver,WR,75.5,212,4.62,,32,122,4.03,6.48
Scott Tolzien,QB,74,212,4.92,,29.5,116,4.12,6.84
Devon Torrence,CB,71.63,199,4.68,,33,111,4.09,6.95
Terrance Turner,WR,73.75,220,4.66,16,41,128,4.15,6.77
Jeff Van Camp,QB,77.25,218,4.83,,31,114,4.16,6.87
Demarcus Van Dyke,CB,72.75,176,4.25,5,33.5,121,4.09,6.97
Julian Vandervelde,OG,73.88,301,5.12,23,31,104,4.59,7.46
Shane Vereen,RB,70.25,210,4.49,31,34,115,4.28,6.95
Danny Watkins,OG,75.38,310,5.36,29,26,92,4.62,7.61
Justin Watt,DE,77.38,290,4.91,34,37,120,4.21,6.88
Ryan Whalen,WR,73.13,202,4.53,18,38.5,123,4.09,6.67
Chris White,ILB,74.75,240,4.68,17,34,115,4.25,6.95
Johnny White,RB,69.88,209,4.5,,32.5,117,4.31,7.07
Markus White,DE,75.5,266,4.86,14,32.5,117,4.51,7.25
Colby Whitlock,DT,74.13,302,5.27,25,30.5,105,4.75,7.73
Muhammad Wilkerson,DT,76.13,315,4.96,27,26,106,4.59,7.31
Aaron Williams,CB,71.88,204,4.55,18,37.5,127,4.07,6.72
D.J. Williams,TE,74.13,245,4.59,20,33.5,111,4.51,7.29
Deunta Williams,FS,73.75,205,,,,,,
Ian Williams,DT,73.25,319,5.21,31,28.5,98,4.78,7.75
Jabara Williams,OLB,73.88,228,4.57,17,36.5,118,4.3,7.04
Jacquian Williams,OLB,74.63,231,4.55,17,36.5,116,4.2,6.9
Jonathan Williams,RB,71.5,212,4.45,18,37.5,124,4.43,6.84
Keith Williams,OG,76.25,318,5.28,23,24.5,93,5.03,8.42
Malcolm Williams,CB,69.63,204,4.47,16,40,126,4.39,6.9
Marshall Williams,WR,72.75,188,4.56,9,35.5,123,4.09,6.61
Nate Williams,SS,72,211,4.68,17,30.5,114,4.15,6.98
Ryan Williams,RB,69.38,212,4.59,19,40,123,4.18,6.96
Zach Williams,C,75,309,5.18,28,30,103,4.62,7.54
Zack Williams,C,75,309,5.27,28,30,103,4.62,7.54
Lawrence Wilson,OLB,72.88,229,4.71,24,32.5,113,4.5,7.23
Martez Wilson,ILB,75.75,250,4.42,23,36,124,4.28,7.04
Ryan Winterswyk,DE,76.13,268,4.96,18,30,111,4.37,7.01
Stefen Wisniewski,C,75,313,5.29,30,28.5,100,4.63,7.51
Kenneth Wright,OLB,75.38,246,4.75,20,32,120,4.46,7.26
Shareece Wright,CB,70.88,185,4.41,16,34.5,113,4.28,7.09
Taylor Yates,QB,75.38,219,5.06,,29.5,104,4.12,6.96
D.J. Young,OT,76.75,307,5.17,36,29,105,4.7,7.92
Jimmy Young,WR,72,204,4.5,19,37,115,4.18,7.08
Titus Young,WR,71.38,174,4.43,,35,123,4.3,6.85
Lee Ziemba,OT,77.63,317,5.5,20,29,95,4.65,7.74
Phillip Adams,CB,70.75,192,4.5,,34.5,124,4.34,7.16
Seyi Ajirotutu,WR,75.38,204,4.6,14,36,115,4.39,7.22
Rahim Alem,DE,74.63,251,4.75,18,30.5,106,4.8,7.54
Charles Alexander,DT,75.63,300,5.4,,32.5,102,4.94,
Danario Alexander,WR,76.63,215,,,,,,
Nate Allen,FS,72.5,207,4.5,16,34.5,114,4.3,6.96
Tyson Alualu,DE,74.38,295,4.87,21,35.5,116,4.43,7.15
Jon Amaya,FS,72.75,203,4.51,8,28,118,,
Jonathon Amaya,FS,72.75,203,4.6,8,28,118,4.3,6.82
Pat Angerer,ILB,72.25,235,4.71,26,35,110,4.29,7.04
Lucien Antoine,SS,72.5,215,4.62,28,32,120,4.47,7.38
Javier Arenas,CB,68.63,197,4.6,,,112,,
Alric Arnett,WR,73.75,188,4.52,,40,122,4.43,7.03
Jon Asamoah,OG,76,305,5.07,22,28,106,4.51,7.56
Larry Asante,SS,72,212,4.62,14,37.5,118,4.17,7
Geno Atkins,DT,73.38,293,4.75,34,33,117,4.43,7.33
Terrence Austin,WR,69.63,165,4.52,15,35.5,123,4.28,7.16
Brandon Banks,WR,66.75,149,4.43,,31,113,4.29,6.88
Freddie Barnes,WR,72,215,4.67,12,30.5,107,4.55,7.16
Kevin Basped,DE,76.5,258,4.75,26,29,104,4.88,7.54
Danny Batten,ILB,74.88,246,4.71,30,32.5,122,4.32,7.26
Zane Beadles,OG,76.38,310,5.28,27,,,,
Jason Beauchamp,ILB,75,244,4.89,21,39.5,120,4.57,7.1
Chris Bell,WR,74.13,211,4.5,15,35,117,4.35,6.76
Joique Bell,RB,71.25,220,4.68,16,36.5,120,4.17,6.84
Arrelious Benn,WR,73,219,4.57,20,37,118,4.32,6.78
Eric Berry,FS,71.63,211,4.4,19,43,130,4.23,6.8
Jahvid Best,RB,70.13,199,4.34,18,32.5,113,4.17,6.75
Ciron Black,OG,76.5,327,5.53,23,25.5,91,5.13,8.52
LeGarrette Blount,RB,72.5,241,4.7,18,35,117,4.49,6.85
Nyan Boateng,WR,73,204,4.75,14,36,112,4.69,7.35
Kyle Bosworth,OLB,72.63,236,4.69,25,32.5,117,4.11,6.67
Brent Bowden,P,74.5,202,,,,,,
Navorro Bowman,OLB,72.5,242,4.7,26,29.5,115,4.59,6.91
Sam Bradford,QB,76.25,236,4.79,,,,,
Dezmon Briscoe,WR,74,207,4.66,9,33,115,4.57,7.1
Dorian Brooks,OG,74.25,306,5.15,26,23,100,4.66,7.73
Antonio Brown,WR,70.13,186,4.56,13,33.5,105,4.18,6.98
Charles Brown,OT,77.38,303,5.24,21,31.5,101,,
Chris Brown,RB,70.38,210,4.55,17,36,115,4.49,7.12
Cornelius Brown,CB,70.88,198,4.59,11,31.5,118,4.24,6.87
Jarrett Brown,QB,74.88,224,4.5,,34.5,114,4.39,7.24
Levi Brown,QB,75.5,229,4.93,20,31.5,106,4.43,7.07
Stevie Brown,SS,71.25,212,4.51,23,34.5,122,4.33,6.92
Dez Bryant,WR,74,225,4.52,14,38,133,4.46,7.1
