name,five_ft_split,ten_ft_split,fifteen_ft_split,twenty_ft_split,twenty_five_ft_split,thirty_ft_split,thirty_five_ft_split,forty_ft_split,forty_five_ft_split,fifty_ft_split,fifty_five_ft_split,sixty_ft_split,sixty_five_ft_split,seventy_ft_split,seventy_five_ft_split,eighty_ft_split,eighty_five_ft_split,ninety_ft_split,ID,weight,height,bats,throws
"Astudillo, Willians",0.565,0.905,1.19,1.4525,1.695,1.9225,2.14,2.35,2.555,2.7575,2.955,3.155,3.355,3.5525,3.755,3.9625,4.1775,4.41,569,225,69,R,R
"Asuaje, Carlos",0.525,0.81,1.07,1.315,1.54,1.76,1.965,2.165,2.355,2.545,2.73,2.915,3.1,3.28,3.45,3.63,3.82,4.01,570,160,68,L,R
"Austin, Tyler",0.5333333333,0.8366666667,1.103333333,1.35,1.583333333,1.8,2.01,2.21,2.41,2.593333333,2.783333333,2.963333333,3.143333333,3.323333333,3.496666667,3.676666667,3.856666667,4.04,610,220,74,R,R
"Avila, Alex",0.546,0.872,1.166,1.434,1.682,1.918,2.14,2.36,2.57,2.772,2.978,3.18,3.376,3.574,3.772,3.974,4.18,4.388,620,228,71,L,R
"Aviles, Mike",0.5433333333,0.84,1.096666667,1.34,1.57,1.786666667,1.993333333,2.186666667,2.38,2.563333333,2.746666667,2.923333333,3.103333333,3.28,3.453333333,3.63,3.806666667,3.986666667,624,205,70,R,R
"Aybar, Erick",0.5366666667,0.8316666667,1.09,1.331666667,1.556666667,1.771666667,1.971666667,2.17,2.358333333,2.54,2.723333333,2.901666667,3.076666667,3.253333333,3.426666667,3.596666667,3.776666667,3.958333333,632,195,70,B,R
"Baddoo, Akil",0.53,0.82,1.073333333,1.296666667,1.513333333,1.713333333,1.903333333,2.09,2.273333333,2.446666667,2.62,2.79,2.96,3.126666667,3.293333333,3.463333333,3.633333333,3.823333333,658,214,73,L,L
"Bader, Harrison",0.5528571429,0.8557142857,1.11,1.341428571,1.551428571,1.758571429,1.951428571,2.138571429,2.318571429,2.494285714,2.667142857,2.838571429,3.008571429,3.174285714,3.338571429,3.505714286,3.665714286,3.835714286,661,210,72,R,R
"Bae, Ji Hwan",0.54,0.83,1.08,1.3,1.51,1.71,1.89,2.08,2.25,2.43,2.6,2.76,2.93,3.09,3.25,3.41,3.58,3.76,665,185,73,L,R
"Baker, Jeff",0.56,0.85,1.11,1.35,1.58,1.8,2.01,2.22,2.41,2.6,2.79,2.97,3.16,3.34,3.52,3.7,3.88,4.09,736,220,74,R,R
"Bandy, Jett",0.555,0.895,1.19,1.465,1.715,1.955,2.19,2.41,2.625,2.84,3.05,3.26,3.47,3.67,3.88,4.09,4.31,4.535,793,235,76,R,R
"Barmes, Clint",0.58,0.88,1.14,1.39,1.62,1.84,2.06,2.26,2.46,2.66,2.85,3.04,3.23,3.41,3.6,3.79,3.98,4.18,868,200,73,R,R
"Barnes, Austin",0.5471428571,0.8614285714,1.134285714,1.38,1.611428571,1.827142857,2.037142857,2.238571429,2.434285714,2.627142857,2.817142857,3,3.187142857,3.367142857,3.55,3.731428571,3.914285714,4.108571429,871,187,70,R,R
"Barnes, Brandon",0.555,0.85,1.105,1.345,1.57,1.785,1.99,2.185,2.38,2.565,2.75,2.93,3.11,3.29,3.47,3.645,3.83,4.02,875,210,74,R,R
"Barney, Darwin",0.545,0.845,1.105,1.355,1.58,1.795,2,2.195,2.385,2.575,2.76,2.945,3.125,3.305,3.48,3.66,3.84,4.025,877,180,70,R,R
