player_id,player_name,yearDraft,yearCombine,numberPickOverall,position,height,weight,wingspan,reach_standing,standing_vertical,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,timeModifiedLaneAgility,lengthHandInches,widthHandInches,body_fat_pct,drafted
2677.0,Kevin Lyde,,2002,,C-PF,80.75,278.0,86.0,109.5,27.5,30.5,13.0,12.97,3.36,,,,,False
203733.0,William Buford,,2012,,SG-SF,76.0,214.6,81.5,102.0,27.5,32.5,8.0,11.4,3.4299999999999997,,8.75,10.0,11.3,False
2440.0,Matt Barnes,2002.0,2002,45.0,SF,78.75,226.0,81.0,96.5,35.5,40.5,11.0,10.68,3.2800000000000002,,,,,True
1630210.0,Markus Howard,,2020,,PG,69.5,170.8,72.25,91.5,30.5,35.5,,11.209999999999999,3.11,3.17,8.5,7.75,9.91,False
200760.0,Rodney Carney,2006.0,2006,16.0,SG-SF,76.5,204.0,82.0,103.5,32.0,38.5,10.0,10.57,3.06,,,,5.3,True
201616.0,Darnell Jackson,2008.0,2008,52.0,PF,79.0,240.5,83.25,106.5,27.0,31.0,11.0,11.75,3.2600000000000002,,,,12.5,True
2559.0,Troy Bell,2003.0,2003,16.0,PG,72.25,178.0,77.0,97.5,34.5,41.0,17.0,10.89,3.06,,,,5.3,True
202382.0,Derrick Caracter,2010.0,2010,58.0,PF,80.25,280.0,84.25,107.5,25.0,30.5,22.0,12.78,3.61,,9.0,10.25,12.8,True
203939.0,Dwight Powell,2014.0,2014,45.0,PF,81.5,234.4,84.5,105.0,28.5,35.0,,11.28,3.2,2.88,9.0,9.25,6.2,True
12028.0,Bootsy Thornton,,2000,,SG,75.5,194.5,78.5,101.5,26.5,31.0,7.0,12.08,3.3299999999999996,,,,,False
12249.0,Frank Elegar,,2008,,PF,79.25,210.0,87.25,106.0,33.5,37.5,11.0,11.860000000000001,3.17,,,,4.5,False
203938.0,Alec Brown,2014.0,2014,50.0,PF,84.25,231.2,85.5,109.0,27.0,30.0,,12.05,3.48,2.9099999999999997,9.25,8.75,7.7,True
1630194.0,Paul Reed Jr.,2020.0,2020,58.0,PF,80.5,219.2,86.0,109.5,26.5,37.5,,12.29,3.4499999999999997,2.67,9.0,8.75,6.83,True
12058.0,Byron Mouton,,2002,,SG-SF,76.5,213.0,82.25,102.0,24.0,30.0,7.0,11.84,3.1,,,,,False
12002.0,James Moore,,2004,,PF-SF,78.5,198.0,84.5,107.0,28.5,32.5,,11.01,3.21,,,,8.0,False
201234.0,Trey Johnson,,2007,,SG,75.0,216.0,77.0,98.0,26.5,35.0,18.0,11.78,3.3099999999999996,,,,5.4,False
1630221.0,Joshua Hall,,2020,,SF,78.0,196.6,83.0,104.5,31.5,37.5,,12.16,3.38,2.62,8.75,9.5,7.6,False
12026.0,Nick Sheppard,,2000,,PF-C,81.5,273.0,83.0,107.5,23.5,25.5,18.0,12.139999999999999,3.52,,,,,False
12080.0,Justin Hamilton,,2003,,PG-SG,75.0,217.0,83.0,103.0,30.0,37.5,17.0,11.18,3.18,,,,8.0,False
2876.0,Jared Reiner,,2004,,C-PF,82.0,246.0,84.5,109.0,22.0,26.0,15.0,12.65,3.56,,,,12.9,False
2777.0,Ricky Minard,2004.0,2004,48.0,PG-SG,75.25,198.0,79.0,101.5,27.5,33.0,13.0,10.94,3.1,,,,8.0,True
1628387.0,Ike Anigbogu,2017.0,2017,47.0,C,80.5,252.2,90.25,110.5,29.5,32.5,11.0,12.52,3.44,3.48,9.5,10.0,5.4,True
203114.0,Khris Middleton,2012.0,2012,39.0,SF,78.75,216.2,82.75,103.0,28.0,31.0,4.0,11.450000000000001,3.4699999999999998,,9.0,9.0,7.8,True
12217.0,Jeremy Hunt,,2007,,SG,74.0,198.0,80.25,101.5,30.5,33.0,10.0,12.11,3.29,,,,5.2,False
12253.0,Sasha Kaun,,2008,,C-PF,81.0,247.0,88.0,110.0,29.0,32.0,13.0,12.06,3.2,,,,9.6,False
201567.0,Kevin Love,2008.0,2008,5.0,PF,79.75,255.0,83.25,106.0,29.5,35.0,18.0,11.17,3.22,,,,12.9,True
1628514.0,Peter Jok,,2017,,SG-SF,76.25,202.4,80.0,102.0,26.5,31.0,,11.34,3.4099999999999997,2.9299999999999997,8.25,9.5,11.0,False
12125.0,Brad Buckman,,2006,,PF,79.25,238.0,84.0,107.5,25.5,30.5,10.0,12.26,3.54,,,,10.5,False
202346.0,Dominique Jones,2010.0,2010,25.0,SG,75.25,216.0,81.25,101.0,26.0,32.5,19.0,10.88,3.3099999999999996,,9.0,10.25,5.9,True
201161.0,Daequan Cook,2007.0,2007,21.0,SG,75.0,203.0,80.25,101.5,30.0,34.5,4.0,11.12,3.22,,,,7.0,True
1626191.0,Chris McCullough,2015.0,2015,29.0,PF,80.25,199.0,87.25,109.0,,,,,,,8.75,8.75,6.2,True
12121.0,David Simon,,2005,,C-PF,80.0,258.8,87.5,108.0,28.0,33.0,18.0,11.98,3.44,,,,,False
12029.0,Jaquay Walls,,2000,,PG,73.25,165.5,74.5,96.5,28.5,35.5,0.0,10.75,3.23,,,,,False
203479.0,Jamaal Franklin,2013.0,2013,41.0,SG-SF,76.0,190.8,83.25,103.5,,,,,,,8.5,8.25,8.25,True
2606.0,Carl English,,2003,,SG-PG,76.0,201.0,77.25,98.5,28.0,34.0,11.0,11.77,3.32,,,,8.0,False
12184.0,Jaime Lloreda,,2004,,PF,78.75,247.0,81.5,107.0,25.5,29.5,6.0,12.93,3.23,,,,9.9,False
12248.0,Josh Duncan,,2008,,PF,80.0,230.0,83.5,104.5,28.0,32.0,26.0,12.47,3.2600000000000002,,,,5.4,False
1629611.0,Terance Mann,2019.0,2019,48.0,SG-SF,76.75,204.6,79.75,101.0,32.5,38.5,6.0,11.51,3.3,3.14,9.5,9.25,4.0,True
201956.0,Omri Casspi,2009.0,2009,23.0,SF,79.75,211.2,81.25,106.5,25.5,32.5,2.0,11.15,3.2800000000000002,,,,8.6,True
201868.0,Stanley Burrell,,2008,,PG,73.5,201.0,78.25,97.5,29.5,34.5,21.0,11.19,3.19,,,,5.6,False
1628985.0,Devon Hall,2018.0,2018,53.0,SG,76.25,206.4,79.75,102.0,25.0,31.0,6.0,10.950000000000001,3.27,3.16,8.5,10.0,8.450000000000001,True
12052.0,Muhammed Lasege,,2002,,C-PF,80.75,228.0,86.0,108.5,27.5,30.0,18.0,12.96,3.29,,,,,False
2544.0,LeBron James,2003.0,2003,1.0,SF-SG,79.25,245.0,84.25,106.25,,,,,,,,,6.7,True
203504.0,Trey Burke,2013.0,2013,9.0,PG,71.75,187.0,77.5,97.5,29.5,36.5,3.0,11.2,3.16,3.01,8.25,8.75,6.9,True
201177.0,Josh McRoberts,2007.0,2007,37.0,PF,80.0,240.0,85.0,106.5,27.5,31.5,12.0,11.7,3.4699999999999998,,,,13.7,True
12235.0,Major Wingate,,2007,,C,80.5,242.0,88.0,109.0,27.5,30.5,15.0,12.139999999999999,3.4699999999999998,,,,6.7,False
203930.0,Sean Kilpatrick,,2014,,SG,74.5,218.7,79.0,99.0,,,,,,,9.0,9.0,9.2,False
12170.0,Damone Thornton,,2001,,PF,78.75,235.0,85.75,103.7,33.5,37.5,19.0,11.17,3.2,,,,8.0,False
1628503.0,Jamel Artis,,2017,,SG-SF,77.5,213.2,82.0,105.0,23.5,31.0,5.0,11.62,3.44,3.08,9.25,9.75,11.9,False
12173.0,Brian Boddicker,,2004,,SF-PF,79.5,230.0,82.0,105.5,28.0,30.0,16.0,10.93,3.25,,,,11.2,False
1628980.0,Jacob Evans,2018.0,2018,28.0,SG-SF,76.25,199.6,81.25,102.5,28.0,35.5,8.0,11.11,3.2,3.14,9.0,9.25,6.5,True
12035.0,Calvin Bowman,,2001,,PF,80.75,214.0,83.5,104.0,28.5,34.5,7.0,11.96,3.21,,,,8.6,False
200829.0,Ivan McFarlin,,2005,,PF,77.5,228.6,81.0,105.5,26.5,32.0,10.0,10.639999999999999,3.27,,,,,False
1630182.0,Josh Green,2020.0,2020,18.0,SG-SF,76.5,214.0,81.75,101.5,30.5,39.5,,10.639999999999999,3.12,2.2800000000000002,8.0,8.75,6.8,True
1626217.0,Chris Walker,,2015,,PF,80.75,208.0,86.75,108.0,30.5,37.0,6.0,11.25,3.3499999999999996,3.4099999999999997,9.0,9.0,5.1,False
12180.0,Martin Iti,,2004,,C-PF,80.5,233.0,89.0,111.5,26.5,32.5,13.0,12.28,3.4099999999999997,,,,10.5,False
1626185.0,Jarell Martin,2015.0,2015,25.0,PF,80.0,238.6,81.0,106.5,28.5,35.0,19.0,11.2,3.27,2.9699999999999998,8.25,9.5,10.1,True
201624.0,David Padgett,,2008,,C-PF,82.25,239.5,85.0,109.5,24.0,28.0,17.0,12.450000000000001,3.4499999999999997,,,,9.0,False
